Site code,Rai,Kas,Raj,Cha,Udg,Bor,Kha,Man
Rai,0,37.158,56.877,59.72,106.498,171.549,243.338,267.939
Kas,37.158,0,19.982,23.003,70.481,135.464,206.932,231.292
Raj,56.877,19.982,0,10.038,53.902,118.026,188.862,212.864
Cha,59.72,23.003,10.038,0,47.534,112.468,183.941,208.352
Udg,106.498,70.481,53.902,47.534,0,65.072,136.862,161.634
Bor,171.549,135.464,118.026,112.468,65.072,0,72.015,97.227
Kha,243.338,206.932,188.862,183.941,136.862,72.015,0,25.881
Man,267.939,231.292,212.864,208.352,161.634,97.227,25.881,0
,,,,,,,,
Note:,,,,,,,,
1,The values are in kilometers.,,,,,,,
