Site,Site_transect,Month,Latitude,Longitude,Elevation,tmax,tmin,tavg,vapr,wind,srad,prec
Rai,RAI_T1,Jul,18.043556,73.722556,1312,21.20000076,17.39999962,19.29999924,2.049999952,3.5,15582,1645
Rai,RAI_T2,Jul,18.041944,73.726083,1294,21.5,17.5,19.5,2.059999943,3.5,15587,1548
Rai,RAI_T3,Jul,18.044111,73.722444,1312,21.20000076,17.39999962,19.29999924,2.049999952,3.5,15582,1645
Rai,RAI_T4,Jul,18.046361,73.728889,1294,21.5,17.5,19.5,2.059999943,3.5,15587,1548
Rai,RAI_T5,Jul,18.046806,73.731056,1294,21.5,17.5,19.5,2.059999943,3.5,15587,1548
Rai,RAI_T6,Jul,18.046278,73.731083,1294,21.5,17.5,19.5,2.059999943,3.5,15587,1548
Rai,RAI_T7,Jul,18.047889,73.722722,1312,21.20000076,17.39999962,19.29999924,2.049999952,3.5,15582,1645
Kas,KAS_T1,Jul,17.720528,73.827417,1194,21.79999924,17.89999962,19.89999962,2.109999895,3.5,15649,1071
Kas,KAS_T2,Jul,17.725167,73.827833,1178,22,18,20,2.119999886,3.400000095,15679,1026
Kas,KAS_T3,Jul,17.725167,73.82575,1178,22,18,20,2.119999886,3.400000095,15679,1026
Kas,KAS_T4,Jul,17.720806,73.823361,1214,21.60000038,17.79999924,19.70000076,2.099999905,3.5,15613,1149
Kas,KAS_T5,Jul,17.726028,73.827611,1178,22,18,20,2.119999886,3.400000095,15679,1026
Kas,KAS_T6,Jul,17.720694,73.825306,1194,21.79999924,17.89999962,19.89999962,2.109999895,3.5,15649,1071
Kas,KAS_T7,Jul,17.716111,73.825083,1150,22.10000038,18.10000038,20.10000038,2.130000114,3.400000095,15637,976
Raj,RAJ_T1,Jul,17.565694,73.9235,1092,23.10000038,18.5,20.79999924,2.160000086,3.400000095,15706,752
Raj,RAJ_T2,Jul,17.567333,73.920278,1078,23.10000038,18.60000038,20.79999924,2.170000076,3.400000095,15704,722
Raj,RAJ_T3,Jul,17.57925,73.911944,1132,22.70000076,18.20000076,20.5,2.140000105,3.400000095,15706,823
Raj,RAJ_T4,Jul,17.581361,73.904833,1139,22.60000038,18.20000076,20.39999962,2.140000105,3.5,15665,856
Raj,RAJ_T5,Jul,17.579194,73.910306,1132,22.70000076,18.20000076,20.5,2.140000105,3.400000095,15706,823
Raj,RAJ_T6,Jul,17.574083,73.91525,1088,23,18.5,20.70000076,2.160000086,3.5,15664,757
Raj,RAJ_T7,Jul,17.565028,73.922972,1092,23.10000038,18.5,20.79999924,2.160000086,3.400000095,15706,752
Cha,CHA_T1,Jul,17.625167,73.815139,1184,21.39999962,17.89999962,19.70000076,2.130000114,3.400000095,15516,1177
Cha,CHA_T2,Jul,17.575556,73.823806,1148,21.79999924,18,19.89999962,2.150000095,3.5,15540,1107
Cha,CHA_T3,Jul,17.623028,73.811389,1154,21.60000038,18,19.79999924,2.150000095,3.5,15540,1116
Cha,CHA_T4,Jul,17.601694,73.814972,1152,21.70000076,18,19.89999962,2.150000095,3.5,15536,1125
Cha,CHA_T5,Jul,17.620917,73.811778,1154,21.60000038,18,19.79999924,2.150000095,3.5,15540,1116
Cha,CHA_T6,Jul,17.534611,73.845389,1126,22.29999924,18.20000076,20.20000076,2.170000076,3.5,15590,1033
Cha,CHA_T7,Jul,17.495222,73.827694,1088,22.20000076,18.20000076,20.20000076,2.200000048,3.5,15522,1053
Udg,UDG_T1,Jul,17.078194,73.854306,1001,22.89999962,18.79999924,20.79999924,2.299999952,3.599999905,15500,1220
Udg,UDG_T2,Jul,17.07825,73.853833,1001,22.89999962,18.79999924,20.79999924,2.299999952,3.599999905,15500,1220
Udg,UDG_T3,Jul,17.0825,73.850778,1001,22.89999962,18.79999924,20.79999924,2.299999952,3.599999905,15500,1220
Udg,UDG_T4,Jul,17.084583,73.850722,982,23.10000038,18.89999962,21,2.309999943,3.599999905,15528,1186
Udg,UDG_T5,Jul,17.087472,73.84925,1005,22.89999962,18.70000076,20.79999924,2.299999952,3.599999905,15489,1245
Udg,UDG_T6,Jul,17.087361,73.848611,1005,22.89999962,18.70000076,20.79999924,2.299999952,3.599999905,15489,1245
Udg,UDG_T7,Jul,17.085806,73.848333,1005,22.89999962,18.70000076,20.79999924,2.299999952,3.599999905,15489,1245
Bor,BOR_T1,Jul,16.517556,73.893028,831,23.60000038,19.29999924,21.5,2.430000067,3.599999905,15479,1537
Bor,BOR_T2,Jul,16.516472,73.892167,883,23.29999924,19.10000038,21.20000076,2.410000086,3.599999905,15462,1599
