"Site","Month","AsyDal","BegCre","BucHis","ChlGla","ComBen","ComMac","CriBra","CroNan","CurOrc","CurCau","CyaFas","CyaTub","DesRac","ExaLaw","HabGra","HabHey","HabLon","OldSto","ImpBal","ImpDal","ImpLaw","IndDal","IsoLop","RosDif","LinMys","MurCro","MurSem","MurSim","AdeCoe","AdeMal","PinCon","RotDen","SenBom","SidAcu","SmiBig","SmiBla","SmiHir","ParDel","UtrMal","UtrGra","VigRad","VigVex","AdeInd","ApoSat","AriMur","CanDif","ChrCal","DipMon","DroInd","PorRet","FleGra","HabBra","HabSua","HypAur","ImpTom","IphSte","MurLan","NeaMon","PerDen","PogDec","RhaLon","RotFlo","SmiGra","StrGes","StrSes","VigSub","BurCoe","CerMed","GroTri","IpoPur","MolPen","PerGla","CurPse","HabRar","PerNep","CerSah","MalVer","ImpAca","MurBro","UtrStr","ChlBel","DisRhy","TetGra","DenNan","PorFil","MurVer"
"Rai","July",0,0,0,2,0,0,0,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rai","Aug",0,0,0,15,0,0,0,0,1,390,0,3,0,0,0,1,0,0,0,13,0,0,0,22,0,0,0,3,22,48,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rai","Sept",1,0,0,6,10,0,0,0,0,19,333,36,0,312,0,0,0,51,1,8,0,0,0,1094,103,22,3,35,0,6,1,0,782,0,1,0,251,1,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rai","Oct",0,0,19,0,8,0,0,0,0,0,0,12,0,238,0,0,0,0,97,1,0,0,0,342,125,0,0,0,13,0,0,2,374,0,290,12,250,7,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kas","July",0,0,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kas","Aug",1,5,0,9,0,0,0,0,0,49,1,4,0,0,0,35,0,0,0,0,0,1,0,2,0,0,0,15,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,131,0,0,0,27,34,1,0,0,0,21,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kas","Sept",5,0,0,3,1,0,0,0,0,0,655,32,0,72,0,7,0,1254,0,0,176,40,0,575,65,9,858,257,10,0,0,0,492,0,0,0,0,0,349,845,0,3,0,0,0,0,0,367,0,0,4,0,0,0,202,0,299,310,54,0,109,645,142,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kas","Oct",2,0,0,0,0,0,0,0,0,0,188,19,2,52,0,0,0,15,0,0,18,28,54,365,439,3,585,268,12,0,0,0,791,4,27,0,317,6,22,566,0,3,0,0,0,1,0,20,0,0,0,0,0,0,160,0,147,45,6,0,131,2,7,1,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raj","July",0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,179,0,0,0,0,0,96,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,42,0,0,0,0,107,0,0,0,0,17,0,0,290,0,0,0,3,0,0,0,0,1,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raj","Aug",0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,319,0,0,0,0,0,120,0,4,0,0,12,50,0,0,59,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,110,0,0,0,0,199,0,0,0,6,133,0,0,149,0,0,0,4,0,0,0,0,1,92,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
