Sr. No.,Flowering species,Species code,Rai,Kas,Raj,Cha,Udg,Bor,Kha,Man
1,Adelocaryum coelestinum,AdeCoe,1,1,0,1,0,0,1,1
2,Adelocaryum malabaricum,AdeMal,1,0,0,0,0,0,0,0
3,Adenoon indicum,AdeInd,0,0,1,0,0,0,0,0
4,Aponogeton satarensis,ApoSat,0,1,0,1,1,0,0,0
5,Arisaema murrayi,AriMur,0,1,0,0,0,0,1,0
6,Asystasia dalzelliana,AsyDal,1,1,0,0,0,0,0,0
7,Begonia crenata,BegCre,0,1,0,1,1,1,1,1
8,Buchnera hispida,BucHis,1,0,1,0,0,0,0,0
9,Burmannia coelestis,BurCoe,0,0,1,0,0,0,0,1
10,Canscora diffusa,CanDif,0,1,1,1,1,1,1,1
11,Ceropegia media,CerMed,0,0,1,0,0,0,0,0
12,Ceropegia sahyadrica,CerSah,0,0,0,0,1,0,0,0
13,Chlorophytum belgaumense,ChlBel,0,0,0,0,0,0,1,1
14,Chlorophytum glaucoides,ChlGla,1,1,0,1,0,0,0,0
15,Christisonia calcarata,ChrCal,0,0,0,1,0,0,0,0
16,Commelina benghalensis,ComBen,1,1,0,1,0,0,0,1
17,Commelina maculata,ComMac,0,0,0,0,0,0,0,1
18,Crinum brachynema,CriBra,0,0,0,0,1,0,0,0
19,Crotalaria nana,CroNan,0,0,1,0,0,0,0,0
20,Curculigo orchioides,CurOrc,1,0,0,0,0,0,0,0
21,Curcuma caulina,CurCau,1,1,1,0,0,0,0,0
22,Curcuma pseudomontana,CurPse,0,0,0,0,1,0,0,0
23,Cyanotis fasciculata,CyaFas,1,1,1,1,1,1,1,1
24,Cyanotis tuberosa,CyaTub,1,1,1,0,0,0,0,0
25,Dendrobium nanum,DenNan,0,0,0,0,0,0,0,1
26,Desmodiastrum racemosum,DesRac,0,1,0,0,0,0,0,0
27,Dipcadi montanum,DipMon,0,1,1,0,0,0,0,0
28,Distimake rhyncorhiza,DisRhy,0,0,0,0,0,0,1,1
29,Drosera indica,DroInd,0,0,1,0,0,0,0,0
30,Eriocaulon sedgwickii,EriSed,1,1,1,1,1,1,1,1
31,Eriocaulon stellulatum,EriSte,1,0,0,1,0,1,1,1
32,Eriocaulon tuberiferum,EriTub,0,0,1,1,1,0,1,1
33,Eriocaulon xeranthemum,EriXer,0,1,0,1,0,0,0,0
34,Exacum lawii,ExaLaw,1,1,1,1,1,1,1,1
35,Flemingia gracilis,FleGra,0,1,1,0,0,0,0,1
36,Grona triflora,GroTri,0,0,1,0,0,0,0,0
37,Habenaria brachyphylla,HabBra,0,1,0,0,0,0,0,0
38,Habenaria grandifloriformis,HabGra,0,1,0,1,0,0,0,0
39,Habenaria heyneana,HabHey,1,1,1,1,1,1,1,1
40,Habenaria longicorniculata,HabLon,0,0,0,1,0,0,0,0
