Sr. No.,Flowering species,Species code,Rai,Kas,Raj,Cha,Udg,Bor,Kha,Man
1,Adelocaryum coelestinum,AdeCoe,35,22,0,1,0,0,47,18
2,Adelocaryum malabaricum,AdeMal,96,0,0,0,0,0,0,0
3,Adenoon indicum,AdeInd,0,0,21,0,0,0,0,0
4,Aponogeton satarensis,ApoSat,0,27,10,14,13,0,0,0
5,Arisaema murrayi,AriMur,0,1,0,0,0,0,2,0
6,Asystasia dalzelliana,AsyDal,1,8,0,0,0,0,0,0
7,Begonia crenata,BegCre,0,5,0,32,267,8,133,702
8,Buchnera hispida,BucHis,19,0,8,0,0,0,0,0
9,Burmannia coelestis,BurCoe,0,0,2,0,0,0,0,56
10,Canscora diffusa,CanDif,0,1,2,82,67,20,328,52
11,Ceropegia media,CerMed,0,0,1,0,0,0,0,0
12,Ceropegia sahyadrica,CerSah,0,0,0,0,12,0,0,0
13,Chlorophytum belgaumense,ChlBel,0,0,0,0,0,0,3,20
14,Chlorophytum glaucoides,ChlGla,23,15,0,32,0,0,0,0
15,Christisonia calcarata,ChrCal,0,0,0,5,0,0,0,0
16,Commelina benghalensis,ComBen,18,1,0,1,0,0,0,8
17,Commelina maculata,ComMac,0,0,0,0,0,0,0,2
18,Crinum brachynema,CriBra,0,0,0,0,1,0,0,0
19,Crotalaria nana,CroNan,0,0,12,0,0,0,0,0
20,Curculigo orchioides,CurOrc,2,0,0,0,0,0,0,0
21,Curcuma caulina,CurCau,556,54,64,0,0,0,0,0
22,Curcuma pseudomontana,CurPse,0,0,0,0,2,0,0,0
23,Cyanotis fasciculata,CyaFas,333,844,1311,57,7,20,8,50
24,Cyanotis tuberosa,CyaTub,51,55,14,0,0,0,0,0
25,Dendrobium nanum,DenNan,0,0,0,0,0,0,0,19
26,Desmodiastrum racemosum,DesRac,0,2,0,0,0,0,0,0
27,Dipcadi montanum,DipMon,0,518,179,0,0,0,0,0
28,Distimake rhyncorhiza,DisRhy,0,0,0,0,0,0,7,23
29,Drosera indica,DroInd,0,0,34,0,0,0,0,0
30,Eriocaulon sedgwickii,EriSed,540,3695,3049,2740,1940,3131,3485,2481
31,Eriocaulon stellulatum,EriSte,52,0,0,117,0,123,15,43
32,Eriocaulon tuberiferum,EriTub,0,0,44,456,287,0,43,17
33,Eriocaulon xeranthemum,EriXer,0,305,0,250,0,0,0,0
34,Exacum lawii,ExaLaw,550,124,45,266,172,78,1150,21
35,Flemingia gracilis,FleGra,0,4,250,0,0,0,0,3
36,Grona triflora,GroTri,0,0,1,0,0,0,0,0
37,Habenaria brachyphylla,HabBra,0,27,0,0,0,0,0,0
38,Habenaria grandifloriformis,HabGra,0,1,0,3,0,0,0,0
39,Habenaria heyneana,HabHey,1,42,529,2,3,3,32,24
40,Habenaria longicorniculata,HabLon,0,0,0,1,0,0,0,0
41,Habenaria rariflora,HabRar,0,0,0,12,0,0,13,0
42,Habenaria suaveolens,HabSua,0,34,306,1,16,9,0,0
43,Hypoxis aurea,HypAur,0,1,0,67,27,56,5,1
44,Impatiens acaulis,ImpAca,0,0,0,0,0,112,335,1148
45,Impatiens balsamina,ImpBal,98,0,0,0,10,0,413,85
46,Impatiens dalzellii,ImpDal,22,0,0,0,0,0,0,0
47,Impatiens lawii,ImpLaw,0,194,174,19,2,51,718,52
48,Impatiens tomentosa,ImpTom,0,362,6,379,306,10,1518,908
49,Indigofera dalzelliana,IndDal,0,69,545,20,52,81,3,0
50,Iphigenia stellata,IphSte,0,4,0,0,0,0,0,0
51,Ipomoea purpurea,IpoPur,0,0,4,0,0,0,0,0
52,Isodon lophanthoides,IsoLop,0,54,0,2,0,0,0,17
53,Linum mysorense,LinMys,228,504,621,250,185,212,0,0
54,Malaxis versicolor,MalVer,0,0,0,0,150,0,0,0
55,Mollugo pentaphylla,MolPen,0,0,750,0,0,0,0,0
56,Murdannia brownii,MurBro,0,0,0,0,0,19,20,0
57,Murdannia crocea,MurCro,22,12,1,0,142,0,23,2
58,Murdannia lanuginosa,MurLan,0,446,36,5,0,0,2,3
59,Murdannia semiteres,MurSem,3,1443,1551,167,29,0,1485,1144
60,Murdannia simplex,MurSim,38,540,469,65,0,0,44,356
61,Murdannia versicolor,MurVer,0,0,0,0,0,0,0,1
62,Neanotis montholoni,NeaMon,0,376,443,1073,435,925,1291,190
63,Oldenlandia stocksii,OldSto,51,1269,1242,866,90,0,855,74
64,Parasopubia delphiniifolia,ParDel,8,6,14,0,0,8,0,0
65,Peristylus densus,PerDen,0,61,3,0,0,0,0,14
66,Persicaria glabra,PerGla,0,0,70,0,0,0,0,0
67,Persicaria nepalensis,PerNep,0,0,0,20,0,0,0,1
68,Pinda concanensis,PinCon,123,8,68,40,2,0,0,0
69,Pogostemon deccanensis,PogDec,0,0,150,759,761,973,418,940
70,Porpax filiformis,PorFil,0,0,0,0,0,0,0,20
71,Porpax reticosa,PorRet,0,0,0,0,77,0,0,104
72,Rhamphicarpa longiflora,RhaLon,0,240,538,5,298,65,23,96
73,Rostellularia diffusa,RosDif,1458,942,4,881,776,684,42,170
74,Rotala densiflora,RotDen,2,0,0,0,0,0,0,0
75,Rotala floribunda,RotFlo,0,740,524,862,755,1545,1579,809
76,Senecio bombayensis,SenBom,1157,1283,779,849,273,587,1559,1752
77,Sida acuta,SidAcu,0,4,0,0,0,0,0,0
78,Smithia bigemina,SmiBig,291,27,750,26,24,212,149,0
79,Smithia blanda,SmiBla,12,0,0,0,0,0,0,0
80,Smithia gracilis,SmiGra,0,149,84,4,1,287,34,1
81,Smithia hirsuta,SmiHir,501,317,218,0,308,597,237,3
82,Striga gesnerioides,StrGes,0,1,0,0,0,1,0,0
83,Strobilanthes sessilis,StrSes,0,109,26,3,49,29,1,11
84,Tetrataenium grande,TetGra,0,0,0,0,0,0,19,46
85,Utricularia graminifolia,UtrGra,0,1412,1668,42,343,1760,2725,1303
86,Utricularia malabarica,UtrMal,252,375,1003,657,270,1404,804,183
87,Utricularia striatula,UtrStr,0,0,0,0,0,0,3,2
88,Vigna radiata,VigRad,22,0,0,0,0,0,0,0
89,Vigna sublobata,VigSub,0,13,0,0,0,0,0,0
90,Vigna vexillata,VigVex,1,6,0,0,0,0,0,0
